Headlines,Time,Description
Cramer's lightning round: Caterpillar needs an acceleration of our economy," 7:02  PM ET Mon, 22 June 2020","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Nielsen CEO explains why he took on the additional role of chief diversity officer," 1:49  PM ET Sun, 21 June 2020","""I'm fortunate to have a very diverse team helping me and they encouraged me last year to take the title on,"" Nielsen CEO David Kenny said on CNBC on Friday."
"Charts suggest new highs 'could be on the table' for the S&P 500, Jim Cramer says"," 7:47  PM ET Thu, 18 June 2020","""If the S&P 500 really does surge to 3,400, up 9.1% from these levels, maybe take something off the table,"" the ""Mad Money"" host said."
Cramer's lightning round: A patient person can wait for GE to payoff," 7:24  PM ET Thu, 18 June 2020","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Jim Cramer: 10 bull markets on Wall Street and the stocks leading the way," 7:02  PM ET Thu, 18 June 2020","The 10 bull markets ""will keep working as America reopens,"" the ""Mad Money"" host said."
Cramer's lightning round: STMicroelectronics is a 'very good company'," 7:17  PM ET Wed, 17 June 2020","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Union Pacific CEO sees 'signs of optimism' in multiple markets as economy recovers," 7:12  PM ET Wed, 17 June 2020","""We are seeing the e-commerce demand flow through to our rail business,"" Union Pacific CEO Lance Fritz told CNBC's Jim Cramer."
"Royal Pharma came public in a 'golden age of medical research,' Jim Cramer says"," 6:54  PM ET Wed, 17 June 2020","""I think the story is so compelling that it's worth putting on a small position even up here,"" the ""Mad Money"" host said."
Cramer advises investors to continue investing based on the 'new normal'," 6:44  PM ET Wed, 17 June 2020","""These social distancing stocks have become some of the best investments around. I think they'll stay that way until we get a vaccine,"" the ""Mad Money"" host said."
"Cramer channels Wall Street legend Martin Zweig: 'Don't fight the tape, don't fight the Fed'"," 8:11  PM ET Tue, 16 June 2020","""Mad Money"" host Jim Cramer broke down what drove Tuesday's market rally."
Cramer reacts to Trump administration's potential $1 trillion infrastructure proposal," 7:00  PM ET Tue, 16 June 2020",CNBC's Jim Cramer weighs his favorite stock picks amid talks of the Trump administration considering a massive infrastructure spending package.
,,
Cramer's lightning round: Let's buy some Pinterest," 6:57  PM ET Tue, 16 June 2020","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Canopy Growth CEO expects weed will be legalized federally by 2022," 6:57  PM ET Tue, 16 June 2020","""My assumption is that 2022, for me, is the magic number,"" he said in a ""Mad Money"" interview."
"Campbell Soup CEO says June pantry sales are unusually high, despite reopening economy"," 7:37  PM ET Mon, 15 June 2020","""I think the behaviors that were built in the last several months have the real potential to continue to provide a catalyst for improved results,"" CEO Mark Clouse said in a ""Mad Money"" interview."
Cramer's lightning round: Virgin Galactic is 'too dangerous a game for me'," 7:32  PM ET Mon, 15 June 2020","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Jim Cramer: Investors concerned about spiking coronavirus cases should buy these stocks," 7:23  PM ET Mon, 15 June 2020","""As Zoom goes, so go Zscaler and CrowdStrike and Cramer-fave RingCentral,"" the ""Mad Money"" host said."
Cramer recommends buying these 17 cloud stocks based on the 'Rule of 40'," 8:21  PM ET Fri, 12 June 2020","""If the combination's over 40, you've got a good one. If it's under 40, you've got a riskier one,"" the ""Mad Money"" host said."
,,
Cramer's week ahead: This is the 'most overbought market in history'," 8:03  PM ET Fri, 12 June 2020","""As long as you think we aren't going into a second lockdown, even as Covid cases spike, then you want to buy your favorite stocks into weakness here,"" Cramer said."
Centene CEO calls for better education for at-risk youth as one solution to racial disparities," 8:26  PM ET Fri, 12 June 2020","""One of the things we have to do to correct this is improve the educational system in the inner city,"" health insurer Centene CEO Michael Neidorff said."
Cramer's lightning round: Alibaba is the only Chinese stock I recommend," 7:15  PM ET Fri, 12 June 2020","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Pullback on Nasdaq a good opportunity to join the uptrend: Daryl Guppy,"10:22  PM ET Thu, 11 June 2020",Daryl Guppy of Guppytraders.com gives technical analysis on key U.S. market indices and VIX.
'The threats are becoming higher' — L3Harris CEO says tech is driving the future of warfare," 8:56  PM ET Thu, 11 June 2020","""The competition of the future, the war fight of the future, is going to be based on new technology,"" L3Harris CEO Bill Brown said on ""Mad Money."""
"CEO of Tommy Hilfiger owner vows to 'do better' on corporate diversity, social justice"," 8:18  PM ET Thu, 11 June 2020","PVH, the parent company of such brands as Tommy Hilfiger and Calvin Klein, plans to develop ""meaningful targets"" and be accountable, CEO Manny Chirico said."
Cramer's lightning round: I don't want anything to do with a real estate development company," 7:05  PM ET Thu, 11 June 2020","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Cramer recommends buying these stocks after Thursday's brutal rout," 4:41  AM ET Fri, 12 June 2020","""In a tough market, you need to circle the wagons around the few good names you feel comfortable buying and then buying more if they go lower,"" Cramer said."
Cramer's lightning round: Cloudflare is good," 6:59  PM ET Wed, 10 June 2020","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
"Wall Street can't rally much higher without a coronavirus vaccine, Jim Cramer warns"," 6:59  PM ET Wed, 10 June 2020","""No broad-based rally from this level is sustainable without a major scientific breakthrough in the fight against Covid-19,"" the ""Mad Money"" host said."
"Polaris has a 'once-in-a-generation opportunity,' Jim Cramer says"," 6:40  PM ET Wed, 10 June 2020","""This is a company that benefits enormously from the V-shaped recovery thesis, and it also works with a slower recovery,"" Cramer said."
"Hertz's stock may look cheap, but Cramer cautions against buying it"," 7:41  PM ET Tue,  9 June 2020","""It doesn't matter how little you pay for a stock, when it goes to zero, you lose everything,"" the ""Mad Money"" host said."
Cramer's lightning round: General Mills and Axon Enterprise are worth a buy," 7:08  PM ET Tue,  9 June 2020","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Cramer urges investors to be wary of airline and cruise stocks — buy these 5 winners instead," 6:37  PM ET Tue,  9 June 2020","Cramer said Facebook, AMD, Apple, Amazon and Nvidia can go higher based on their strengths. ""That's why I keep going back to them, and you should too."""
,,
Markets could go even higher in this liquidity-driven rally: Professor," 2:43  AM ET Tue,  9 June 2020","As the S&P 500 wipes its 2020 losses and Nasdaq closes at a record high, Jeremy Siegel of the University of Pennsylvania explains why he thinks the markets could go higher still."
Expect the Fed to continue to provide support to propel economy: Strategist,"10:36  PM ET Mon,  8 June 2020","Sam Stovall of CFRA discusses the U.S. economy amid the current crisis and a looming recession. Sam foresees that Fed will not be too quick to remove the stimulus, ahead of the FOMC meeting this week."
Cramer's lightning round: Software maker Ping Identity is a buy," 7:41  PM ET Mon,  8 June 2020","""Mad Money"" host Jim Cramer says the stocks of Ping Identity and Biohaven Pharmaceuticals are worth a buy."
Cramer: These are the stocks that helped power the Nasdaq to a record high during the pandemic," 7:39  PM ET Mon,  8 June 2020","The Nasdaq's rally is ""more representative of this market than the endless rebound in the hospitality and travel stocks"" due to reopening, Cramer said."
CEO of Airstream maker says new people are seeing benefits of traveling by RV during pandemic," 6:50  PM ET Mon,  8 June 2020","""You really only have to stop to get gas,"" Thor Industries CEO Bob Martin said in explaining the benefits of RV travel."
Most global indexes have surpassed our 12-month targets: CIO,"11:54  AM ET Fri,  5 June 2020","The magnitude of the rally in U.S. stocks since March has come as a surprise, says Tuan Huynh of Deutsche Bank Wealth Management. With the markets pricing in a ""blue sky"" scenario, he says now is the time to take some profits off the table."
,,
"The future of commerce needs more diverse voices, Shopify COO says"," 8:53  PM ET Thu,  4 June 2020","""We stand with our black merchants, our black employees and the black community worldwide,"" Shopify COO Harley Finkelstein said amid civil unrest in America."
Cramer's lightning round: Macy's stock can go higher," 7:21  PM ET Thu,  4 June 2020","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Jim Cramer: The pandemic led to 'one of the greatest wealth transfers in history'," 7:20  PM ET Thu,  4 June 2020","""I think we're looking at a V-shaped recovery in the stock market, and that has almost nothing to do with a V-shaped recovery in the economy,"" the ""Mad Money"" host said."
Nancy Pelosi calls for 'very strong' change in response to nationwide unrest," 6:55  PM ET Thu,  4 June 2020","""Let's take this moment to be an inflection point ... that we are going to not just proceed incrementally, but in a very strong way to do things differently,"" the House Speaker said."
We stand behind our 3400 target for S&P 500 by Q1 2021: BMO Capital Markets," 3:19  AM ET Thu,  4 June 2020","Brian Belski of BMO Capital Markets says in addition to Fed support on liquidity, the fundamentals of economy and quality of U.S. stocks supported the 40% rally from the March lows. He sees further upside in market based on projected recovery in second half of the year."
Crowdstrike CEO explains how the future of remote work and security will look," 8:59  PM ET Wed,  3 June 2020","The remote work wave is a ""subset of digital transformation"" and was sped up over night by the coronavirus pandemic, CEO George Kurtz said in a ""Mad Money"" interview."
Cramer's lightning round: Microsoft fits the pattern of what this market wants," 8:21  PM ET Wed,  3 June 2020","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Jim Cramer: Investors are rotating into and out of these stocks," 6:42  PM ET Wed,  3 June 2020","""Normalcy is shop until you drop. And today's action says that's exactly where we're headed,"" the ""Mad Money"" host said."
"China is the 'first leading indicator' of a rebound in autos, Marvell Tech CEO says"," 9:37  PM ET Tue,  2 June 2020","China is showing ""very positive signs of production resuming,"" Marvell Technology CEO Matt Murphy said."
Cramer's lightning round: I'm starting to warm up again to Wells Fargo," 5:32  PM ET Wed,  3 June 2020","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
"China and Europe 'bailed our stock market out,' Jim Cramer says"," 6:48  PM ET Tue,  2 June 2020","""If the rest of the world's in better shape, well, that is fantastic news for our companies that do lots of business overseas,"" the ""Mad Money"" host said."
